Date,DOY,U,Ta,RH min,ETo,Precip,hc,Irr
16-Sep-2005,259,1.20,23.00,47.32,2.94,,0.80,
17-Sep-2005,260,1.05,21.00,47.32,2.94,,0.80,
18-Sep-2005,261,0.80,22.50,47.32,2.94,,0.80,
19-Sep-2005,262,1.20,27.20,47.32,2.94,,0.80,
20-Sep-2005,263,1.30,28.30,47.32,2.94,,0.80,10.8
21-Sep-2005,264,2.10,29.20,48.87,2.50,,0.80,
22-Sep-2005,265,0.79,22.05,50.42,2.47,,0.80,
23-Sep-2005,266,0.60,23.80,51.97,2.42,,0.80,
24-Sep-2005,267,1.31,24.60,53.52,2.35,,0.80,
25-Sep-2005,268,1.60,26.10,55.07,2.27,,0.80,10.3
26-Sep-2005,269,1.20,25.00,56.62,2.23,,0.80,
27-Sep-2005,270,1.65,29.20,58.17,2.16,,0.80,
28-Sep-2005,271,1.89,26.30,59.72,2.11,,0.80,
29-Sep-2005,272,2.30,25.00,61.27,2.11,,0.80,
30-Sep-2005,273,3.20,24.60,62.82,2.07,,0.80,
1-Oct-2005,274,1.20,25.00,64.37,2.05,,0.80,
2-Oct-2005,275,2.10,24.90,63.10,1.99,,0.80,
